title,html_text,plain_text,category,author,pub_date,link
Физики плотно упаковали данные в алмаз на миллионы лет,"<header><figure><img src=""https://naked-science.ru/wp-content/uploads/2024/12/2023-12-08-image-13-j-scaled.jpg"" /><figcaption><p>Фото обработанного в бриллиант алмаза / © TechSpot, Inc</p>
</figcaption></figure><h1>Физики плотно упаковали данные в алмаз на миллионы лет</h1></header>
<p>Носители информации, такие как жесткие <em>HDD</em> и <em>SSD</em>-диски, флеш-накопители и оптические диски, имеют ограниченный срок службы. Со временем данные на них могут становиться недоступными из-за деградации материалов, накопления ошибок или выхода устройств из строя. Например, <em>CD, DVD</em> и <em>Blu-ray</em>-диски становятся нечитаемыми из-за царапин и воздействия влаги, а флеш-накопители и жесткие диски могут потерять данные из-за механических поломок, сбоев в электронике или частой перезаписи. </p>


<p>Важные данные стоит регулярно <a href=""https://naked-science.ru/article/astronomy/v-obraztsah-asteroida-ryu"" target=""_blank"" rel=""noreferrer noopener"">перезаписывать</a> или копировать на новые носители, чтобы избежать их утраты. Существует и проблема утери доступа к данным из-за устаревания технологий — устройства для чтения старых форматов могут просто исчезнуть с рынка. </p>


<p>Человечеству хочется надежно хранить критически важную информацию, поэтому ученые постоянно ведут разработки долговечных решений для ее хранения. Один из вариантов — кристаллические носители, способные сохранять данные на протяжении многих тысяч лет.</p>

<p><br />
<br />
</p>

<p>Исследователи уже демонстрировали возможность записи данных в алмазы. Это обеспечивает значительно более длительное хранение информации по сравнению с жесткими дисками и бумагой. Однако в предыдущих экспериментах ученые не могли добиться высокой плотности записи информации на дорогой носитель.&nbsp;</p>


<p>В работе, <a href=""https://www.nature.com/articles/s41566-024-01573-1"" target=""_blank"" rel=""noreferrer noopener"">опубликованной</a> в журнале <em>Nature Photonics, </em>исследовательская группа разработала метод гравировки данных на алмазах, который позволяет существенно увеличить плотность хранения, а значит, и объем данных, записываемых на кристалл.</p>


<p>Для экспериментов ученые <a href=""https://naked-science.ru/article/column/uchenye-vyyasnili-chto-bystree-dobyt"" target=""_blank"" rel=""noreferrer noopener"">использовали</a> кусочки алмаза длиной несколько миллиметров — пока это демонстрационный проект, доказательство работы методики. По словам исследователей, в будущем подобные носители могут изготавливаться размером с <em>Blu-ray</em>-диск. </p>


<p>Новый метод использует лазер, который удаляет отдельные атомы углерода с поверхности алмаза, создавая крошечные полости. Когда на них светит другой лазер, эти полости показывают строго определенный уровень яркости, который можно считывать.</p>


<figure><figure><img src=""https://naked-science.ru/wp-content/uploads/2024/12/new-higher-density-sto-2048x1560.jpg"" alt=""""  style=""width:606px;height:auto"" /></figure><figcaption>Детали концептуальной технологии © <em>Nature Photonics</em> (2024). DOI: 10.1038/s41566-024-01573-1</figcaption></figure>


<p>Управляя энергией лазера, ученые могут регулировать степень яркости отдельных участков алмаза, удаляя разное количество атомов. Считывающий лазер определяет яркость каждого участка и по этим данным исследователи декодируют информацию.</p>


<p>В серии экспериментов команда ученых закодировала изображения на небольшой алмазной пластине. Точность цикла запись — считывание составила 99 процентов. Плотность записи информации — 14,8 терабита на кубический сантиметр. Быструю запись <a href=""https://naked-science.ru/article/column/uchenyteriale-iz-volnovod"" target=""_blank"" rel=""noreferrer noopener"">обеспечивает </a>фемтосекундный лазер, а стабильность кристаллов алмаза позволяет предположить, что данные будут сохранены в этом носителе миллионы лет. </p>


<p>Исследователи признают, что на данном этапе их метод нельзя считать экономически выгодным из-за высокой стоимости используемого для формирования полостей лазера. Тем не менее они предполагают, что технология может найти применение в задачах, где требуется сверхнадежное хранение данных.</p>



","Носители информации, такие как жесткие HDD и SSD-диски, флеш-накопители и оптические диски, имеют ограниченный срок службы. Со временем данные на них могут становиться недоступными из-за деградации материалов, накопления ошибок или выхода устройств из строя. Например, CD, DVD и Blu-ray-диски становятся нечитаемыми из-за царапин и воздействия влаги, а флеш-накопители и жесткие диски могут потерять данные из-за механических поломок, сбоев в электронике или частой перезаписи.  Важные данные стоит регулярно перезаписывать или копировать на новые носители, чтобы избежать их утраты. Существует и проблема утери доступа к данным из-за устаревания технологий — устройства для чтения старых форматов могут просто исчезнуть с рынка.  Человечеству хочется надежно хранить критически важную информацию, поэтому ученые постоянно ведут разработки долговечных решений для ее хранения. Один из вариантов — кристаллические носители, способные сохранять данные на протяжении многих тысяч лет. Исследователи уже демонстрировали возможность записи данных в алмазы. Это обеспечивает значительно более длительное хранение информации по сравнению с жесткими дисками и бумагой. Однако в предыдущих экспериментах ученые не могли добиться высокой плотности записи информации на дорогой носитель.  В работе, опубликованной в журнале Nature Photonics, исследовательская группа разработала метод гравировки данных на алмазах, который позволяет существенно увеличить плотность хранения, а значит, и объем данных, записываемых на кристалл. Для экспериментов ученые использовали кусочки алмаза длиной несколько миллиметров — пока это демонстрационный проект, доказательство работы методики. По словам исследователей, в будущем подобные носители могут изготавливаться размером с Blu-ray-диск.  Новый метод использует лазер, который удаляет отдельные атомы углерода с поверхности алмаза, создавая крошечные полости. Когда на них светит другой лазер, эти полости показывают строго определенный уровень яркости, который можно считывать. Детали концептуальной технологии © Nature Photonics (2024). DOI: 10.1038/s41566-024-01573-1 Управляя энергией лазера, ученые могут регулировать степень яркости отдельных участков алмаза, удаляя разное количество атомов. Считывающий лазер определяет яркость каждого участка и по этим данным исследователи декодируют информацию. В серии экспериментов команда ученых закодировала изображения на небольшой алмазной пластине. Точность цикла запись — считывание составила 99 процентов. Плотность записи информации — 14,8 терабита на кубический сантиметр. Быструю запись обеспечивает фемтосекундный лазер, а стабильность кристаллов алмаза позволяет предположить, что данные будут сохранены в этом носителе миллионы лет.  Исследователи признают, что на данном этапе их метод нельзя считать экономически выгодным из-за высокой стоимости используемого для формирования полостей лазера. Тем не менее они предполагают, что технология может найти применение в задачах, где требуется сверхнадежное хранение данных.",Физика,Evgenia,"Mon, 02 Dec 2024 08:01:00 +0300",https://naked-science.ru/article/physics/dence-diamond-data-storag
"В НИУ ВШЭ выяснили, что египтяне не так уж сильно боялись смерти","<header><figure><img src=""https://naked-science.ru/wp-content/uploads/2024/12/photo_2024-12-02_10-58-15.jpg"" /><figcaption><p>Погребальный папирус певицы Амона Нани (XXI династия, ок. 1050 год до н.э.) / © Метрополитен-музей, ru.wikipedia.org</p>
</figcaption></figure><h1>В НИУ ВШЭ выяснили, что египтяне не так уж сильно боялись смерти</h1></header>
<p>Исследование <a href=""https://steps.ranepa.ru/issues/2024/2/3"">опубликовано</a> в журнале «Шаги/Steps». В истории изучения египетской религии европейскими и британскими учеными XIX–XX веков она часто сводилась к культу смерти и посмертным практикам. В частности, работы известного археолога и востоковеда Уоллиса Баджа сформировали представление о древнеегипетской культуре как о «мистической» и «другой», внимание акцентировалось на одержимости смертью по сравнению с западными цивилизациями.</p>


<p>Этот подход, известный в социальной психологии как теория управления страхом смерти (TMT), предполагал, что строительство пирамид или создание «Книги мертвых» — это попытки справиться с чувством неизбежности смерти. Тексты содержали заклинания, которые, как верили египтяне, защищали покойных в загробной жизни и помогали преодолевать опасности.</p>


<p>Екатерина Александрова предлагает дополнить этот подход к анализу религии древних египтян теорией компенсационного контроля (CCT). Согласно этой теории, испытывая недостаток контроля над своей жизнью, для сохранения порядка люди обращаются к внешним источникам — богам и правителям. Анализируя «Тексты пирамид» и «Книгу мертвых», исследовательница ставит вопрос: что было главной мотивацией сложных ритуалов — страх смерти или стремление к поддержанию порядка и контроля над миром? Текстологический анализ демонстрирует, что в них отражен не только страх перед смертью, но и усилия по сохранению космического порядка, что указывает на более сложные мотивации египетской религии.</p>


<p>По мнению автора, основной движущей силой древнеегипетской религии было не столько стремление избежать смерти, сколько необходимость поддерживать стабильность и порядок как на земле, так и в загробном мире. Ритуалы служили способом восстановления космической гармонии и подчеркивали важность контроля над силами хаоса. Именно в этом заключалась роль фараонов — божественных правителей, которые были ответственны за сохранение мира и гармонии не только на земле, но и в загробной жизни и считались гарантами порядка — маат.</p>


<figure>

<p>В египетской культуре важное место занимала практика поддержания космического порядка, который обозначался словом «маат» — принцип гармонии и стабильности. Этому порядку постоянно угрожали силы разрушения, называемые «исефет»​.</p>

</figure>


<p>Исследовательница подчеркивает важность индивидуального контроля в египетских погребальных практиках. Владельческие и угрожающие надписи в гробницах часто используют юридическую риторику в качестве предупреждения для тех, кто мог бы осквернить могилу​. В этих надписях покойный не только выражал надежду на восстановление справедливости в суде Великого бога в ином мире, но и рассчитывал на собственные колдовские способности, позволяющие наказать грабителя. Смерть страшила египтян, но это была «вторая смерть», наступавшая при неудачном стечении обстоятельств в ином мире. Чтобы справиться с ней, у египтянина были культурные технологии: например, «сердечные амулеты» не позволяли сердцу умершего свидетельствовать против него на суде Осириса.</p>


<p>Екатерина Александрова подчеркивает, что страх смерти — это переживание индивидуального характера. Средства, которые могут избавить от этого страха, рассматривались египтянами как благо, доступное изначально лишь фараону и элите, однако достигается оно колоссальными усилиями всей страны.</p>

<p><br />
<br />
</p>

<p>Теория компенсации недостатка контроля позволяет видеть погребальные практики различных социальных классов, от простолюдинов до правителей, как часть единой системы, где социальный статус напрямую связан с ответственностью и вкладом в поддержание мирового порядка. Чем выше социальный статус, тем выше ответственность и, как полагали египтяне, вклад его носителя в поддержание мирового порядка.</p>


<p>«Обеспечение правильного погребения божественному правителю — необходимость столь же очевидная, как осуществление храмового культа. Царские заупокойные тексты прямо говорят о том, что “пробудившийся от сна смерти” фараон устанавливает маат на место исефет. Это означает, что заботы о погребении фараона не только приумножают его личное посмертное благополучие, но и нацелены на общее благо, так как работают на обеспечение стабильности космического порядка», — заключает автор исследования​.</p>

","Исследование опубликовано в журнале «Шаги/Steps». В истории изучения египетской религии европейскими и британскими учеными XIX–XX веков она часто сводилась к культу смерти и посмертным практикам. В частности, работы известного археолога и востоковеда Уоллиса Баджа сформировали представление о древнеегипетской культуре как о «мистической» и «другой», внимание акцентировалось на одержимости смертью по сравнению с западными цивилизациями. Этот подход, известный в социальной психологии как теория управления страхом смерти (TMT), предполагал, что строительство пирамид или создание «Книги мертвых» — это попытки справиться с чувством неизбежности смерти. Тексты содержали заклинания, которые, как верили египтяне, защищали покойных в загробной жизни и помогали преодолевать опасности. Екатерина Александрова предлагает дополнить этот подход к анализу религии древних египтян теорией компенсационного контроля (CCT). Согласно этой теории, испытывая недостаток контроля над своей жизнью, для сохранения порядка люди обращаются к внешним источникам — богам и правителям. Анализируя «Тексты пирамид» и «Книгу мертвых», исследовательница ставит вопрос: что было главной мотивацией сложных ритуалов — страх смерти или стремление к поддержанию порядка и контроля над миром? Текстологический анализ демонстрирует, что в них отражен не только страх перед смертью, но и усилия по сохранению космического порядка, что указывает на более сложные мотивации египетской религии. По мнению автора, основной движущей силой древнеегипетской религии было не столько стремление избежать смерти, сколько необходимость поддерживать стабильность и порядок как на земле, так и в загробном мире. Ритуалы служили способом восстановления космической гармонии и подчеркивали важность контроля над силами хаоса. Именно в этом заключалась роль фараонов — божественных правителей, которые были ответственны за сохранение мира и гармонии не только на земле, но и в загробной жизни и считались гарантами порядка — маат. В египетской культуре важное место занимала практика поддержания космического порядка, который обозначался словом «маат» — принцип гармонии и стабильности. Этому порядку постоянно угрожали силы разрушения, называемые «исефет»​. Исследовательница подчеркивает важность индивидуального контроля в египетских погребальных практиках. Владельческие и угрожающие надписи в гробницах часто используют юридическую риторику в качестве предупреждения для тех, кто мог бы осквернить могилу​. В этих надписях покойный не только выражал надежду на восстановление справедливости в суде Великого бога в ином мире, но и рассчитывал на собственные колдовские способности, позволяющие наказать грабителя. Смерть страшила египтян, но это была «вторая смерть», наступавшая при неудачном стечении обстоятельств в ином мире. Чтобы справиться с ней, у египтянина были культурные технологии: например, «сердечные амулеты» не позволяли сердцу умершего свидетельствовать против него на суде Осириса. Екатерина Александрова подчеркивает, что страх смерти — это переживание индивидуального характера. Средства, которые могут избавить от этого страха, рассматривались египтянами как благо, доступное изначально лишь фараону и элите, однако достигается оно колоссальными усилиями всей страны. Теория компенсации недостатка контроля позволяет видеть погребальные практики различных социальных классов, от простолюдинов до правителей, как часть единой системы, где социальный статус напрямую связан с ответственностью и вкладом в поддержание мирового порядка. Чем выше социальный статус, тем выше ответственность и, как полагали египтяне, вклад его носителя в поддержание мирового порядка. «Обеспечение правильного погребения божественному правителю — необходимость столь же очевидная, как осуществление храмового культа. Царские заупокойные тексты прямо говорят о том, что “пробудившийся от сна смерти” фараон устанавливает маат на место исефет. Это означает, что заботы о погребении фараона не только приумножают его личное посмертное благополучие, но и нацелены на общее благо, так как работают на обеспечение стабильности космического порядка», — заключает автор исследования​.",Колумнисты,НИУ ВШЭ,"Mon, 02 Dec 2024 11:01:28 +0300",https://naked-science.ru/article/column/egiptyane-ne-tak-uzh-siln
В ПНИПУ повысили точность оценки состояния авиадвигателя с помощью искусственного интеллекта,"<header><figure><img src=""https://naked-science.ru/wp-content/uploads/2024/12/Avtor-jcomp-istochnik-Freepik.jpg"" /><figcaption><p>В Пермском Политехе повысили точность оценки состояния авиадвигателя с помощью ИИ / © jcomp, Freepik</p>
</figcaption></figure><h1>В ПНИПУ повысили точность оценки состояния авиадвигателя с помощью искусственного интеллекта</h1></header>
<p>Статья <a href=""https://ieeexplore.ieee.org/document/10694118/;jsessionid=42110B891BB09666DA13A6234E98B173"">опубликована</a> в журнале IEEE «Институт инженеров электротехники и электроники». Исследование проведено в рамках программы стратегического академического лидерства «Приоритет 2030».</p>


<p>Применяемая сейчас адаптивная модель авиадвигателя основана на методе диагностической матрицы. Она позволяет определять неизмеряемые параметры (изменения эффективности&nbsp;работы (КПД)&nbsp;основных узлов двигателя, отборы воздуха, утечки) через физически измеряемые. Но процесс базируется на сложных&nbsp;системах&nbsp;уравнений, которые имеют множество решений. В таких случаях необходимо использовать другие методы.</p>

<p><br />
<br />
</p>

<p>Ученые Пермского Политеха предлагают для оптимизации&nbsp;автоматического управления двигателем внедрять генетический алгоритм, который работает по принципу естественного отбора. Такой эволюционный алгоритм&nbsp;поиска производит случайный подбор оптимального решения диагностической системы уравнений, которое будет удовлетворять заданному критерию качества, на основе комбинирования и вариации искомых параметров двигателя.</p>


<p>«Стендовые испытания на имитаторе двигателя показали, что другие&nbsp; применимые для решения поставленной задачи&nbsp; методы,&nbsp;несмотря на высокое быстродействие, в отличие от генетического алгоритма,&nbsp;дают неустойчивое решение.&nbsp;То&nbsp;есть при незначительной погрешности в измерениях датчиков, участвующих в формировании диагностической системы, получаемые в результате параметры двигателя могут отличаться от реальных в несколько раз.</p>


<p>Это недопустимо в условиях полета, так как существенно снижает надежность работы системы автоматического управления. В то же время наше решение показывает стабильную работу и&nbsp; низкую&nbsp;погрешность – 0,453 процента&nbsp;при допустимом быстродействии»,&nbsp;– комментирует Татьяна Кузнецова, доцент кафедры «Конструирование и технологии в электротехнике» ПНИПУ, кандидат технических наук.</p>


<p>Разработанные учеными Пермского Политеха алгоритмы помогут точно идентифицировать состояние авиадвигателя&nbsp;в реальном времени, адаптируя его&nbsp;ко всем возможным&nbsp; режимам эксплуатации. Внедрение метода позволит создавать еще более надежные системы автоматического управления для авиадвигателей&nbsp;нового поколения.</p>

","Статья опубликована в журнале IEEE «Институт инженеров электротехники и электроники». Исследование проведено в рамках программы стратегического академического лидерства «Приоритет 2030». Применяемая сейчас адаптивная модель авиадвигателя основана на методе диагностической матрицы. Она позволяет определять неизмеряемые параметры (изменения эффективности работы (КПД) основных узлов двигателя, отборы воздуха, утечки) через физически измеряемые. Но процесс базируется на сложных системах уравнений, которые имеют множество решений. В таких случаях необходимо использовать другие методы. Ученые Пермского Политеха предлагают для оптимизации автоматического управления двигателем внедрять генетический алгоритм, который работает по принципу естественного отбора. Такой эволюционный алгоритм поиска производит случайный подбор оптимального решения диагностической системы уравнений, которое будет удовлетворять заданному критерию качества, на основе комбинирования и вариации искомых параметров двигателя. «Стендовые испытания на имитаторе двигателя показали, что другие  применимые для решения поставленной задачи  методы, несмотря на высокое быстродействие, в отличие от генетического алгоритма, дают неустойчивое решение. То есть при незначительной погрешности в измерениях датчиков, участвующих в формировании диагностической системы, получаемые в результате параметры двигателя могут отличаться от реальных в несколько раз. Это недопустимо в условиях полета, так как существенно снижает надежность работы системы автоматического управления. В то же время наше решение показывает стабильную работу и  низкую погрешность – 0,453 процента при допустимом быстродействии», – комментирует Татьяна Кузнецова, доцент кафедры «Конструирование и технологии в электротехнике» ПНИПУ, кандидат технических наук. Разработанные учеными Пермского Политеха алгоритмы помогут точно идентифицировать состояние авиадвигателя в реальном времени, адаптируя его ко всем возможным  режимам эксплуатации. Внедрение метода позволит создавать еще более надежные системы автоматического управления для авиадвигателей нового поколения.",Колумнисты,ПНИПУ,"Mon, 02 Dec 2024 11:17:00 +0300",https://naked-science.ru/article/column/tochnost-otsenki-sostoyan
Раскрыта технология создания небесного диска Небры,"<header><figure><img src=""https://naked-science.ru/wp-content/uploads/2024/12/Nebra_disc_1-1-scaled.jpg"" /><figcaption><p>Небесный диск Небры / © Frank Vincentz</p>
</figcaption></figure><h1>Раскрыта технология создания небесного диска Небры</h1></header>
<p>Небра — город в центральной части Германии, примерно в 60-70 километрах от Лейпцига. Именно там в 1999 году нелегальные охотники за сокровищами нашли небесный диск. Он лежал в древнем захоронении вместе с бронзовыми мечами, топориками и великолепными браслетами. В этом месте расположено целое городище бронзового века.</p>


<p>Находки датировали примерно 1600 годом до&nbsp;нашей&nbsp;эры. Археологи заподозрили, что металлическую карту звездного неба на&nbsp;самом деле изготовили на&nbsp;пару сотен лет раньше. Это значит, что ее&nbsp;хранили и&nbsp;передавали из&nbsp;поколения в&nbsp;поколение.</p>


<p>Сам диск по составу в&nbsp;основном медный с&nbsp;небольшими добавками олова, никеля, цинка и&nbsp;мышьяка. Предположительно, для придания фону цвета неба его обрабатывали специальными растворами, это называется патинированием. Инкрустация&nbsp;— золотая.</p>


<figure><figure><img src=""https://naked-science.ru/wp-content/uploads/2024/12/image_2024-12-02_10-30-49-1.png"" alt=""""  /></figure><figcaption>Небесный диск с обозначением изображенных на нем объектов / © Sebastian Dieck et al, 2024</figcaption></figure>


<p>Помимо легкоузнаваемых изображений Солнца, Луны и&nbsp;разрозненных звезд, на&nbsp;небе распознали рисунок созвездия Плеяд, а&nbsp;дуга с&nbsp;правого края оказалась свидетельством того, что люди бронзового века вели астрономические наблюдения: она описывает угол между положением нашего светила в&nbsp;дни летнего и&nbsp;зимнего солнцестояния. Если присмотреться, с левой стороны можно заметить след от&nbsp;точно такой&nbsp;же дуги. Она, очевидно, не&nbsp;сохранилась.</p>


<p>Что означает еще одна дуга внизу, не&nbsp;совсем ясно. Исследователи допустили, что так могли изобразить лодку, Млечный Путь или радугу. Они пришли к&nbsp;выводу, что изначально диск имел чисто научный смысл, но&nbsp;потом его узоры стали рассматривать больше как мифологические символы.</p>


<p>В те времена такое можно было изготовить точно вручную, поэтому ученым было интересно, как именно сделан хотя бы сам диск. В диаметре он почти 32-сантиметровый, толщина составляет 4,6 миллиметра в центре и 1,5-1,8 миллиметра по краям. Изначально отлить его таким было невозможно, заверили исследователи из Германии в <a href=""https://www.nature.com/articles/s41598-024-80545-5"" target=""_blank"" rel=""noreferrer noopener"">статье</a>, опубликованной в журнале <em>Scientific Reports</em>. Они посчитали, что изделие выполнено из компактной линзовидной литой заготовки.</p>


<figure><figure><img src=""https://naked-science.ru/wp-content/uploads/2024/12/41598_2024_80545_Fig4_HTML.webp"" alt=""""  /></figure><figcaption>Мастер изготавливает копию Небесного диска Небры / © Sebastian Dieck et al, 2024</figcaption></figure>


<p>Ученые решили воспроизвести процесс изготовления небесного диска и обратились к&nbsp;кузнецам. Тем удалось сделать несколько реплик шедевра, в&nbsp;процессе изготовления проследив всю базовую технологию его создания.</p>


<p>Оказалось, древние мастера должны были постепенно превращать толстую заготовку в&nbsp;тонкий диск с&nbsp;помощью ударов молота определенным образом: нужно было бить, двигаясь по&nbsp;спирали, от&nbsp;центра к&nbsp;краю. Заготовка при этом должна была быть раскаленной, но&nbsp;в&nbsp;процессе ковки быстро остывала. Поэтому нагрев примерно до плюс 700 градусов Цельсия и&nbsp;серию ударов молотом пришлось повторить в&nbsp;общей сложности 10&nbsp;раз.</p>

<p><br />
<br />
</p>

<p>Более того, для достижения требуемого вида диска понадобились молоты разного веса&nbsp;— сначала пятикилограммовый, потом более и&nbsp;более легкие. Кузнецы XXI столетия выразили восхищение тем, как было развито искусство обработки металлов еще в&nbsp;начале бронзового века.</p>

","Небра — город в центральной части Германии, примерно в 60-70 километрах от Лейпцига. Именно там в 1999 году нелегальные охотники за сокровищами нашли небесный диск. Он лежал в древнем захоронении вместе с бронзовыми мечами, топориками и великолепными браслетами. В этом месте расположено целое городище бронзового века. Находки датировали примерно 1600 годом до нашей эры. Археологи заподозрили, что металлическую карту звездного неба на самом деле изготовили на пару сотен лет раньше. Это значит, что ее хранили и передавали из поколения в поколение. Сам диск по составу в основном медный с небольшими добавками олова, никеля, цинка и мышьяка. Предположительно, для придания фону цвета неба его обрабатывали специальными растворами, это называется патинированием. Инкрустация — золотая. Небесный диск с обозначением изображенных на нем объектов / © Sebastian Dieck et al, 2024 Помимо легкоузнаваемых изображений Солнца, Луны и разрозненных звезд, на небе распознали рисунок созвездия Плеяд, а дуга с правого края оказалась свидетельством того, что люди бронзового века вели астрономические наблюдения: она описывает угол между положением нашего светила в дни летнего и зимнего солнцестояния. Если присмотреться, с левой стороны можно заметить след от точно такой же дуги. Она, очевидно, не сохранилась. Что означает еще одна дуга внизу, не совсем ясно. Исследователи допустили, что так могли изобразить лодку, Млечный Путь или радугу. Они пришли к выводу, что изначально диск имел чисто научный смысл, но потом его узоры стали рассматривать больше как мифологические символы. В те времена такое можно было изготовить точно вручную, поэтому ученым было интересно, как именно сделан хотя бы сам диск. В диаметре он почти 32-сантиметровый, толщина составляет 4,6 миллиметра в центре и 1,5-1,8 миллиметра по краям. Изначально отлить его таким было невозможно, заверили исследователи из Германии в статье, опубликованной в журнале Scientific Reports. Они посчитали, что изделие выполнено из компактной линзовидной литой заготовки. Мастер изготавливает копию Небесного диска Небры / © Sebastian Dieck et al, 2024 Ученые решили воспроизвести процесс изготовления небесного диска и обратились к кузнецам. Тем удалось сделать несколько реплик шедевра, в процессе изготовления проследив всю базовую технологию его создания. Оказалось, древние мастера должны были постепенно превращать толстую заготовку в тонкий диск с помощью ударов молота определенным образом: нужно было бить, двигаясь по спирали, от центра к краю. Заготовка при этом должна была быть раскаленной, но в процессе ковки быстро остывала. Поэтому нагрев примерно до плюс 700 градусов Цельсия и серию ударов молотом пришлось повторить в общей сложности 10 раз. Более того, для достижения требуемого вида диска понадобились молоты разного веса — сначала пятикилограммовый, потом более и более легкие. Кузнецы XXI столетия выразили восхищение тем, как было развито искусство обработки металлов еще в начале бронзового века.",История,Елизавета Александрова,"Mon, 02 Dec 2024 11:57:28 +0300",https://naked-science.ru/article/history/raskryta-tehnologiya-sozd
